購買ID,会員ID,購入年月日,購入品目,購入数量,購入金額
P0003719,M000624,2025-10-02,飲料,1,412
P0003720,M000624,2025-10-20,調味料,4,2204
P0003721,M000624,2025-10-03,飲料,1,365
P0003722,M000624,2025-10-25,米・穀物,1,3027
P0003723,M000624,2026-06-04,調味料,3,1458
P0003724,M000625,2025-12-02,惣菜,1,782
P0003725,M000625,2025-09-08,菓子,1,556
P0003726,M000625,2025-12-27,精肉,3,2961
P0003727,M000625,2025-09-08,米・穀物,4,8956
P0003728,M000625,2025-07-27,調味料,5,2615
P0003729,M000625,2025-08-10,調味料,4,2372
P0003730,M000625,2026-02-18,鮮魚,5,9760
P0003731,M000625,2026-01-09,精肉,2,2452
P0003732,M000625,2026-03-12,野菜,5,2685
P0003733,M000625,2026-03-01,精肉,5,6265
P0003734,M000626,2026-01-17,調味料,1,331
P0003735,M000626,2025-08-10,飲料,4,2024
P0003736,M000626,2026-03-19,鮮魚,1,1619
P0003737,M000627,2025-11-15,鮮魚,4,7024
P0003738,M000627,2026-04-20,鮮魚,3,3162
P0003739,M000627,2026-06-08,有機食品セット,3,9321
P0003740,M000627,2026-06-03,調味料,4,2368
P0003741,M000628,2026-02-17,果物,4,3148
P0003742,M000628,2025-12-24,米・穀物,1,2824
P0003743,M000628,2026-06-05,飲料,4,1640
P0003744,M000628,2026-06-25,調味料,2,674
P0003745,M000629,2026-02-25,調味料,2,492
P0003746,M000629,2025-10-06,果物,5,3715
P0003747,M000629,2025-10-18,米・穀物,3,10359
P0003748,M000629,2026-05-11,野菜,3,1434
P0003749,M000629,2025-12-27,精肉,3,4419
P0003750,M000629,2025-07-02,果物,5,3100
P0003751,M000629,2025-11-13,鮮魚,5,9135
P0003752,M000630,2025-07-28,飲料,4,1812
P0003753,M000630,2025-09-06,米・穀物,4,9208
P0003754,M000630,2026-06-12,鮮魚,4,5480
P0003755,M000630,2026-06-14,飲料,1,475
P0003756,M000630,2025-12-09,菓子,4,1324
P0003757,M000630,2026-05-13,有機食品セット,5,18420
P0003758,M000630,2025-09-08,有機食品セット,1,2377
P0003759,M000630,2025-11-18,米・穀物,1,3743
P0003760,M000630,2025-12-01,果物,4,3824
P0003761,M000631,2026-01-28,有機食品セット,5,13000
P0003762,M000631,2026-03-30,調味料,1,472
P0003763,M000631,2026-05-24,野菜,4,2020
P0003764,M000632,2026-06-13,有機食品セット,2,8524
P0003765,M000632,2026-05-25,野菜,1,599
P0003766,M000632,2025-07-14,鮮魚,5,7590
P0003767,M000632,2025-07-04,果物,4,3764
P0003768,M000632,2025-10-02,果物,1,814
P0003769,M000632,2025-12-19,鮮魚,3,3762
P0003770,M000633,2025-07-31,鮮魚,5,7155
P0003771,M000633,2025-08-07,米・穀物,5,15675
P0003772,M000633,2025-08-23,飲料,3,1347
P0003773,M000633,2025-07-22,調味料,5,2745
P0003774,M000633,2025-07-07,野菜,4,1532
P0003775,M000633,2025-11-28,惣菜,1,750
P0003776,M000634,2025-07-02,飲料,2,694
P0003777,M000634,2026-01-09,飲料,2,574
P0003778,M000634,2026-01-19,米・穀物,5,14480
P0003779,M000634,2025-12-15,米・穀物,5,7475
P0003780,M000635,2025-09-27,飲料,4,2172
P0003781,M000635,2025-08-25,菓子,2,1168
P0003782,M000635,2026-02-01,米・穀物,2,4866
P0003783,M000635,2026-03-23,野菜,2,1492
P0003784,M000635,2026-01-21,精肉,4,5172
P0003785,M000635,2026-04-17,有機食品セット,4,17956
P0003786,M000635,2026-03-18,精肉,3,4551
P0003787,M000635,2025-08-03,菓子,4,1680
P0003788,M000635,2025-08-19,精肉,2,2426
P0003789,M000635,2025-10-15,飲料,1,381
P0003790,M000636,2025-12-06,有機食品セット,3,5601
P0003791,M000636,2026-05-02,精肉,3,4461
P0003792,M000636,2026-03-25,精肉,4,4956
P0003793,M000636,2026-05-15,鮮魚,4,5616
P0003794,M000637,2025-10-25,惣菜,4,1928
P0003795,M000637,2026-02-25,果物,1,600
P0003796,M000637,2026-06-16,野菜,2,734
P0003797,M000637,2025-11-09,飲料,1,352
P0003798,M000637,2026-04-15,有機食品セット,5,18260
P0003799,M000637,2025-12-25,調味料,5,2420
P0003800,M000637,2026-03-17,米・穀物,4,10432
P0003801,M000637,2025-11-01,精肉,1,1039
P0003802,M000637,2026-03-06,菓子,2,1060
P0003803,M000638,2026-01-08,鮮魚,3,4323
P0003804,M000638,2026-04-24,野菜,4,2136
P0003805,M000638,2025-08-16,菓子,3,1998
P0003806,M000638,2025-09-27,精肉,3,2493
P0003807,M000638,2025-08-10,調味料,5,1945
P0003808,M000638,2025-10-13,菓子,4,1956
P0003809,M000639,2026-02-03,精肉,1,1309
P0003810,M000639,2025-12-30,有機食品セット,5,13990
P0003811,M000639,2026-03-08,米・穀物,3,7311
P0003812,M000639,2025-12-17,野菜,5,1695
P0003813,M000640,2026-03-11,米・穀物,4,7744
P0003814,M000640,2026-05-26,果物,3,1929
P0003815,M000640,2025-10-10,飲料,5,2100
P0003816,M000640,2026-06-16,惣菜,2,1122
P0003817,M000640,2025-08-18,惣菜,4,2356
P0003818,M000640,2025-08-03,惣菜,1,574
P0003819,M000640,2026-01-21,精肉,1,911
P0003820,M000640,2025-09-20,飲料,2,718
P0003821,M000641,2025-12-07,米・穀物,4,5512
P0003822,M000641,2026-05-12,野菜,2,1174
P0003823,M000641,2025-08-04,果物,1,594
P0003824,M000641,2026-05-18,有機食品セット,2,5578
P0003825,M000641,2026-01-25,飲料,3,1215
P0003826,M000641,2026-01-19,飲料,3,1269
P0003827,M000641,2026-03-10,精肉,2,2174
P0003828,M000642,2025-09-26,果物,1,920
P0003829,M000642,2025-12-01,飲料,2,796
P0003830,M000642,2025-08-31,飲料,5,2105
P0003831,M000642,2025-12-24,鮮魚,4,7512
P0003832,M000642,2026-03-03,菓子,3,1227
P0003833,M000642,2025-12-16,惣菜,5,1695
P0003834,M000643,2026-03-04,野菜,5,2625
P0003835,M000643,2025-08-24,精肉,3,3495
P0003836,M000643,2025-10-18,惣菜,3,2076
P0003837,M000643,2025-11-21,有機食品セット,2,7058
P0003838,M000644,2026-03-13,野菜,3,1263
P0003839,M000644,2026-04-15,野菜,1,582
P0003840,M000644,2026-03-09,有機食品セット,5,18605
P0003841,M000644,2025-11-10,果物,2,1934
P0003842,M000644,2025-07-08,鮮魚,2,1630
P0003843,M000644,2025-10-01,鮮魚,5,10035
P0003844,M000644,2025-09-01,果物,4,3200
P0003845,M000644,2025-08-10,野菜,1,268
P0003846,M000644,2025-07-02,飲料,4,1536
P0003847,M000645,2026-06-05,鮮魚,3,4533
P0003848,M000645,2026-06-14,惣菜,4,2156
P0003849,M000645,2026-05-15,菓子,2,1038
P0003850,M000645,2026-02-06,野菜,1,490
P0003851,M000645,2026-05-24,有機食品セット,4,17444
P0003852,M000645,2026-05-28,惣菜,5,1815
P0003853,M000645,2025-09-29,野菜,2,1148
P0003854,M000645,2026-03-15,飲料,2,570
P0003855,M000646,2025-09-21,飲料,5,1465
P0003856,M000646,2025-09-26,有機食品セット,3,7671
P0003857,M000646,2026-01-25,果物,4,3088
P0003858,M000646,2025-09-01,果物,3,2604
P0003859,M000646,2026-03-15,米・穀物,1,2476
P0003860,M000646,2025-09-29,精肉,1,1130
P0003861,M000646,2025-09-02,果物,4,4444
P0003862,M000647,2026-06-18,菓子,3,1047
P0003863,M000647,2025-11-09,精肉,5,5345
P0003864,M000647,2025-09-10,菓子,2,858
P0003865,M000648,2025-08-13,鮮魚,5,11235
P0003866,M000648,2025-11-17,精肉,2,2776
P0003867,M000648,2025-07-02,惣菜,5,3640
P0003868,M000648,2025-12-03,鮮魚,4,7600
P0003869,M000649,2025-12-16,惣菜,1,423
P0003870,M000649,2025-12-10,惣菜,2,1192
P0003871,M000649,2026-05-18,果物,4,3076
P0003872,M000649,2026-06-02,惣菜,5,2785
P0003873,M000649,2026-03-29,鮮魚,3,4800
P0003874,M000649,2026-01-24,菓子,3,1686
P0003875,M000649,2026-01-22,有機食品セット,4,15556
P0003876,M000649,2026-02-21,飲料,2,992
P0003877,M000650,2026-05-02,果物,4,3576
P0003878,M000650,2025-12-17,菓子,5,2735
P0003879,M000650,2025-09-12,菓子,3,1920
P0003880,M000651,2026-03-01,精肉,3,3231
P0003881,M000651,2026-01-18,菓子,1,529
P0003882,M000651,2026-03-23,惣菜,5,4225
P0003883,M000651,2025-12-26,菓子,4,2624
P0003884,M000652,2026-03-16,調味料,4,1600
P0003885,M000652,2025-08-10,有機食品セット,4,18520
P0003886,M000652,2025-08-10,果物,4,3848
P0003887,M000652,2026-01-20,飲料,4,2568
P0003888,M000652,2025-09-09,有機食品セット,5,25120
P0003889,M000652,2025-10-04,米・穀物,5,9775
P0003890,M000653,2025-12-27,調味料,1,642
P0003891,M000653,2026-06-03,菓子,1,561
P0003892,M000653,2026-06-30,有機食品セット,4,15772
P0003893,M000653,2025-12-17,調味料,5,3245
P0003894,M000653,2026-05-26,調味料,2,988
P0003895,M000653,2025-12-23,菓子,4,3696
P0003896,M000654,2026-06-13,調味料,2,1248
P0003897,M000654,2025-08-28,調味料,1,429
P0003898,M000654,2025-11-19,有機食品セット,3,9792
P0003899,M000654,2026-01-24,飲料,1,509
P0003900,M000654,2026-02-27,野菜,1,648
P0003901,M000655,2025-10-04,有機食品セット,5,22280
P0003902,M000655,2026-03-16,果物,5,5725
P0003903,M000655,2025-09-17,鮮魚,3,5550
P0003904,M000655,2026-01-16,果物,5,4525
P0003905,M000655,2025-11-22,菓子,4,2012
P0003906,M000655,2026-01-11,野菜,3,1968
P0003907,M000655,2025-09-27,有機食品セット,1,3694
P0003908,M000656,2026-03-25,惣菜,1,626
P0003909,M000656,2026-05-15,精肉,4,5236
P0003910,M000656,2026-06-02,鮮魚,1,1652
P0003911,M000656,2026-02-05,惣菜,2,1322
P0003912,M000656,2026-04-20,菓子,4,1460
P0003913,M000656,2025-11-26,惣菜,4,1828
P0003914,M000656,2025-12-29,飲料,4,1912
P0003915,M000656,2025-11-29,精肉,1,848
P0003916,M000657,2026-06-03,調味料,3,1215
P0003917,M000657,2025-12-27,果物,4,3220
P0003918,M000657,2026-03-27,調味料,3,1362
P0003919,M000657,2026-02-05,野菜,2,978
P0003920,M000658,2026-06-11,野菜,4,2020
P0003921,M000658,2025-10-18,鮮魚,4,8024
P0003922,M000658,2026-02-03,果物,3,2400
P0003923,M000658,2026-01-12,精肉,3,3618
P0003924,M000658,2026-04-14,果物,4,3252
P0003925,M000658,2025-10-20,野菜,1,625
P0003926,M000659,2025-07-20,飲料,1,453
P0003927,M000659,2026-01-10,鮮魚,4,8736
P0003928,M000659,2026-04-16,野菜,4,1508
P0003929,M000659,2025-12-21,菓子,5,1670
P0003930,M000659,2025-12-25,惣菜,5,4285
P0003931,M000659,2026-02-09,飲料,4,1856
P0003932,M000659,2025-12-26,菓子,1,622
P0003933,M000659,2025-12-10,調味料,5,2685
P0003934,M000660,2025-12-13,調味料,2,814
P0003935,M000660,2025-09-12,有機食品セット,4,20656
P0003936,M000660,2025-07-22,精肉,3,3612
P0003937,M000660,2026-05-17,有機食品セット,5,21295
P0003938,M000661,2026-05-28,有機食品セット,4,9184
P0003939,M000661,2025-07-16,野菜,2,606
P0003940,M000661,2025-12-11,飲料,3,1548
P0003941,M000661,2026-01-23,菓子,3,1929
P0003942,M000661,2025-09-13,調味料,5,3285
P0003943,M000661,2026-01-23,果物,5,5520
P0003944,M000662,2025-12-17,鮮魚,4,8516
P0003945,M000662,2026-03-12,有機食品セット,2,4448
P0003946,M000662,2025-07-07,米・穀物,5,18390
P0003947,M000662,2026-04-27,惣菜,3,2079
P0003948,M000662,2025-12-18,鮮魚,5,6825
P0003949,M000662,2025-09-22,野菜,3,1413
P0003950,M000663,2025-07-08,菓子,1,627
P0003951,M000663,2025-07-18,菓子,3,1521
P0003952,M000663,2025-08-11,果物,1,958
P0003953,M000663,2026-05-27,惣菜,3,2406
P0003954,M000663,2026-02-16,鮮魚,4,3524
P0003955,M000663,2026-04-24,野菜,4,2000
P0003956,M000663,2025-08-04,調味料,4,2156
P0003957,M000663,2026-05-09,米・穀物,5,11365
P0003958,M000664,2025-09-27,菓子,3,1335
P0003959,M000664,2025-07-05,菓子,1,484
P0003960,M000664,2026-01-29,惣菜,1,685
P0003961,M000664,2026-03-21,惣菜,2,1544
P0003962,M000664,2026-03-16,飲料,1,232
P0003963,M000664,2026-05-23,精肉,1,1326
P0003964,M000665,2025-10-14,調味料,5,3250
P0003965,M000665,2026-02-13,飲料,3,1656
P0003966,M000665,2025-10-04,有機食品セット,2,9866
P0003967,M000665,2025-10-10,野菜,5,3395
P0003968,M000665,2025-09-16,有機食品セット,2,6752
P0003969,M000665,2025-09-22,調味料,1,625
P0003970,M000665,2026-02-20,野菜,2,1348
P0003971,M000665,2026-04-14,有機食品セット,4,14760
P0003972,M000666,2025-11-04,有機食品セット,4,15836
P0003973,M000666,2026-04-14,調味料,1,543
P0003974,M000666,2025-08-31,調味料,5,3235
P0003975,M000666,2026-06-29,米・穀物,5,12660
P0003976,M000666,2026-03-09,惣菜,3,3084
P0003977,M000666,2026-01-24,惣菜,5,2395
P0003978,M000666,2026-01-20,飲料,4,2520
P0003979,M000666,2025-08-09,果物,1,909
P0003980,M000666,2026-03-30,飲料,2,1028
P0003981,M000667,2026-06-20,米・穀物,5,18500
P0003982,M000667,2026-04-29,有機食品セット,2,8198
P0003983,M000667,2025-10-15,果物,2,1560
P0003984,M000667,2025-10-10,菓子,1,527
P0003985,M000667,2025-07-31,有機食品セット,2,9172
P0003986,M000667,2025-10-29,菓子,1,583
P0003987,M000668,2026-06-15,有機食品セット,2,6252
P0003988,M000668,2025-09-02,鮮魚,5,8960
P0003989,M000668,2025-11-10,鮮魚,3,5247
P0003990,M000668,2025-08-23,菓子,4,2224
P0003991,M000668,2026-01-26,鮮魚,1,1449
P0003992,M000668,2025-11-05,鮮魚,2,2332
P0003993,M000668,2026-03-14,惣菜,1,758
P0003994,M000669,2025-10-28,菓子,5,3645
P0003995,M000669,2025-11-15,飲料,3,1515
P0003996,M000669,2025-07-03,米・穀物,3,9081
P0003997,M000669,2025-10-02,惣菜,4,3396
P0003998,M000669,2025-10-22,鮮魚,2,4038
P0003999,M000669,2025-10-04,菓子,4,2204
P0004000,M000670,2025-07-01,調味料,3,1356
P0004001,M000670,2026-01-27,野菜,5,1990
P0004002,M000670,2026-02-20,精肉,2,1386
P0004003,M000670,2026-03-24,精肉,1,1369
P0004004,M000670,2025-08-06,米・穀物,5,14980
P0004005,M000670,2025-09-16,飲料,1,554
P0004006,M000671,2026-01-16,調味料,5,2500
P0004007,M000671,2025-12-07,菓子,5,3320
P0004008,M000671,2026-06-26,菓子,4,3204
P0004009,M000671,2025-11-19,惣菜,4,3848
P0004010,M000671,2026-04-25,精肉,4,6132
P0004011,M000672,2026-01-06,有機食品セット,3,13104
P0004012,M000672,2026-02-26,惣菜,4,3372
P0004013,M000673,2025-09-20,菓子,3,1551
P0004014,M000673,2026-03-18,飲料,3,1617
P0004015,M000673,2026-02-04,惣菜,1,710
P0004016,M000673,2026-01-03,菓子,4,2372
P0004017,M000673,2025-07-19,菓子,1,452
P0004018,M000673,2026-03-31,精肉,5,7800
P0004019,M000674,2026-01-24,有機食品セット,3,9708
P0004020,M000674,2025-10-10,果物,2,1088
P0004021,M000674,2025-09-17,菓子,3,1395
P0004022,M000674,2025-11-07,菓子,4,2608
P0004023,M000674,2026-01-15,米・穀物,4,7184
P0004024,M000675,2026-01-21,惣菜,3,1962
P0004025,M000675,2025-10-18,野菜,2,942
P0004026,M000675,2026-05-15,果物,5,3970
P0004027,M000675,2025-11-16,菓子,3,792
P0004028,M000675,2025-12-11,鮮魚,5,6740
P0004029,M000675,2026-05-19,精肉,2,1924
P0004030,M000676,2025-08-28,鮮魚,3,4104
P0004031,M000676,2025-11-22,野菜,3,2190
P0004032,M000676,2025-11-18,菓子,5,2950
P0004033,M000676,2025-07-05,惣菜,5,3245
P0004034,M000676,2026-03-29,精肉,3,5838
P0004035,M000677,2025-09-21,精肉,5,5830
P0004036,M000677,2026-03-14,有機食品セット,2,7850
P0004037,M000677,2026-06-03,果物,1,616
P0004038,M000677,2026-05-04,果物,1,878
P0004039,M000678,2025-09-11,果物,2,2190
P0004040,M000678,2026-05-05,惣菜,3,1716
P0004041,M000678,2025-10-23,果物,3,1638
P0004042,M000678,2026-02-05,有機食品セット,4,12940
P0004043,M000679,2025-11-16,有機食品セット,2,7808
P0004044,M000679,2026-02-13,飲料,1,517
P0004045,M000679,2026-05-11,調味料,3,1758
P0004046,M000679,2025-11-30,調味料,1,488
P0004047,M000679,2026-06-08,菓子,5,2545
P0004048,M000679,2025-09-26,菓子,4,1832
P0004049,M000679,2025-10-17,鮮魚,2,3492
P0004050,M000680,2025-08-03,精肉,1,1699
P0004051,M000680,2025-10-05,調味料,3,1890
P0004052,M000680,2025-10-26,米・穀物,1,2589
P0004053,M000680,2026-03-05,調味料,4,2376
P0004054,M000681,2026-03-26,飲料,4,2500
P0004055,M000681,2026-03-31,有機食品セット,4,14524
P0004056,M000681,2025-09-29,有機食品セット,5,21140
P0004057,M000681,2025-08-24,精肉,1,1394
P0004058,M000681,2026-02-13,有機食品セット,5,18505
P0004059,M000681,2026-02-25,調味料,2,1152
P0004060,M000681,2025-07-28,菓子,2,1826
P0004061,M000681,2025-09-26,調味料,3,1449
P0004062,M000682,2026-01-28,飲料,1,457
P0004063,M000682,2025-12-02,菓子,1,573
P0004064,M000682,2025-11-25,野菜,1,573
P0004065,M000682,2026-02-25,果物,2,1680
P0004066,M000682,2025-09-11,有機食品セット,3,12369
P0004067,M000683,2026-01-27,惣菜,2,1514
P0004068,M000683,2026-03-11,惣菜,1,756
P0004069,M000683,2026-01-27,菓子,2,1164
P0004070,M000683,2026-05-18,鮮魚,1,2021
P0004071,M000683,2025-07-04,調味料,4,2504
P0004072,M000683,2026-05-09,精肉,2,3160
P0004073,M000684,2026-03-26,米・穀物,1,2466
P0004074,M000684,2026-01-21,野菜,3,1569
P0004075,M000684,2025-11-01,菓子,1,524
P0004076,M000684,2026-05-14,鮮魚,2,2920
P0004077,M000684,2025-08-10,鮮魚,3,4212
P0004078,M000684,2026-01-14,飲料,5,1805
P0004079,M000685,2026-05-22,精肉,2,2648
P0004080,M000685,2026-01-20,鮮魚,2,3738
P0004081,M000685,2026-03-08,飲料,1,198
P0004082,M000685,2025-09-27,野菜,1,637
P0004083,M000686,2025-12-03,飲料,1,396
P0004084,M000686,2026-03-16,野菜,4,1936
P0004085,M000686,2025-08-21,調味料,5,4130
P0004086,M000686,2026-01-01,米・穀物,1,3180
P0004087,M000686,2025-10-27,野菜,4,2588
P0004088,M000686,2025-11-02,菓子,1,609
P0004089,M000686,2026-01-01,米・穀物,4,10700
P0004090,M000686,2025-12-01,野菜,1,296
P0004091,M000687,2025-10-09,菓子,3,1050
P0004092,M000687,2026-04-06,有機食品セット,3,11301
P0004093,M000687,2025-08-06,精肉,1,1507
P0004094,M000687,2026-06-24,飲料,2,802
P0004095,M000687,2025-12-18,調味料,1,462
P0004096,M000687,2026-02-22,惣菜,4,2208
P0004097,M000687,2025-11-08,惣菜,5,2775
P0004098,M000687,2026-02-20,惣菜,5,3615
P0004099,M000688,2025-08-08,調味料,2,1006
P0004100,M000688,2025-07-03,米・穀物,2,5196
P0004101,M000688,2026-06-27,惣菜,3,1839
P0004102,M000688,2026-03-16,飲料,2,1126
P0004103,M000688,2026-06-05,惣菜,5,3835
P0004104,M000688,2026-05-22,精肉,2,3114
P0004105,M000688,2025-11-22,精肉,3,4869
P0004106,M000688,2025-07-04,有機食品セット,1,5814
P0004107,M000689,2026-02-28,精肉,1,1267
P0004108,M000689,2025-09-21,米・穀物,1,2628
P0004109,M000689,2025-08-24,有機食品セット,5,18025
P0004110,M000689,2026-04-03,精肉,4,4488
P0004111,M000689,2025-09-11,惣菜,2,1050
P0004112,M000689,2025-12-02,惣菜,2,1340
P0004113,M000690,2026-01-09,野菜,4,2092
P0004114,M000690,2025-07-03,調味料,5,3055
P0004115,M000690,2026-03-31,果物,5,3520
P0004116,M000690,2026-06-04,果物,4,3160
P0004117,M000690,2025-07-01,菓子,2,1356
P0004118,M000690,2025-09-24,鮮魚,2,2810
P0004119,M000690,2026-04-01,有機食品セット,3,10560
P0004120,M000691,2026-04-04,惣菜,2,1554
P0004121,M000691,2025-08-23,調味料,1,431
P0004122,M000691,2025-10-18,野菜,1,481
P0004123,M000691,2026-06-28,果物,5,3100
P0004124,M000691,2026-05-15,果物,5,4410
P0004125,M000691,2026-05-19,鮮魚,3,5181
P0004126,M000692,2026-04-20,米・穀物,3,8304
P0004127,M000692,2026-03-25,飲料,1,365
P0004128,M000692,2026-04-20,菓子,5,2815
P0004129,M000692,2025-11-07,果物,2,1984
P0004130,M000692,2026-03-01,鮮魚,4,4916
P0004131,M000693,2026-01-16,米・穀物,3,7401
P0004132,M000693,2025-07-30,調味料,1,506
P0004133,M000693,2025-08-17,野菜,1,377
P0004134,M000693,2025-11-10,鮮魚,2,3050
P0004135,M000693,2026-06-29,有機食品セット,1,4318
P0004136,M000693,2025-11-01,精肉,3,4134
P0004137,M000694,2025-10-17,米・穀物,3,7020
P0004138,M000694,2025-12-20,飲料,4,1192
P0004139,M000694,2026-06-12,調味料,2,1194
P0004140,M000694,2026-03-08,鮮魚,2,3784
P0004141,M000694,2025-11-25,米・穀物,2,5014
P0004142,M000694,2025-08-17,有機食品セット,2,6512
P0004143,M000694,2025-07-06,野菜,2,750
P0004144,M000694,2026-05-28,惣菜,1,268
P0004145,M000695,2025-11-08,惣菜,3,1953
P0004146,M000695,2025-07-09,精肉,3,3891
P0004147,M000695,2026-03-21,米・穀物,5,13475
P0004148,M000696,2025-09-17,鮮魚,4,3248
P0004149,M000696,2026-03-20,米・穀物,2,6094
P0004150,M000696,2026-03-29,調味料,3,1398
P0004151,M000696,2026-04-14,惣菜,1,658
P0004152,M000696,2025-09-06,野菜,4,2148
P0004153,M000697,2025-12-31,調味料,4,2300
P0004154,M000697,2026-03-04,菓子,1,330
P0004155,M000697,2026-06-23,調味料,2,940
P0004156,M000697,2026-04-10,菓子,3,1788
P0004157,M000697,2025-08-08,精肉,5,4585
P0004158,M000697,2026-03-23,惣菜,4,2372
P0004159,M000697,2026-03-26,果物,2,1702
P0004160,M000698,2025-12-06,調味料,1,494
P0004161,M000698,2025-11-29,野菜,3,1338
P0004162,M000698,2025-12-31,飲料,3,1086
P0004163,M000698,2026-05-21,精肉,3,4869
P0004164,M000698,2026-03-22,米・穀物,2,5678
P0004165,M000698,2026-04-25,惣菜,1,540
P0004166,M000698,2025-10-03,果物,4,3524
P0004167,M000699,2025-09-26,鮮魚,1,1928
P0004168,M000699,2026-02-06,鮮魚,4,9836
P0004169,M000699,2025-11-13,米・穀物,5,10350
P0004170,M000699,2026-06-25,飲料,1,270
P0004171,M000699,2026-04-11,菓子,3,1902
P0004172,M000699,2026-05-30,菓子,5,2600
P0004173,M000699,2026-05-03,惣菜,3,1611
P0004174,M000699,2026-06-29,米・穀物,5,12195
P0004175,M000699,2026-05-28,菓子,2,1102
P0004176,M000699,2025-09-27,菓子,2,850
P0004177,M000700,2026-02-03,飲料,4,2340
P0004178,M000700,2025-12-02,野菜,3,2148
P0004179,M000700,2026-01-12,野菜,2,1012
P0004180,M000700,2025-09-20,菓子,4,2708
P0004181,M000700,2025-10-08,惣菜,5,3890
P0004182,M000700,2025-08-17,飲料,4,1400
P0004183,M000700,2026-05-27,野菜,4,2232
P0004184,M000700,2025-11-06,米・穀物,3,6846
P0004185,M000700,2025-11-08,果物,3,2868
P0004186,M000700,2026-04-03,有機食品セット,1,4526
P0004187,M000701,2025-08-05,野菜,4,2308
P0004188,M000701,2025-08-17,野菜,1,378
P0004189,M000701,2026-05-23,有機食品セット,2,9438
P0004190,M000701,2026-04-05,惣菜,4,3124
P0004191,M000701,2026-03-05,惣菜,3,1998
P0004192,M000701,2025-10-28,飲料,1,403
P0004193,M000701,2026-03-18,菓子,5,2845
P0004194,M000701,2026-02-22,菓子,2,1124
P0004195,M000701,2026-06-17,米・穀物,2,4738
P0004196,M000701,2025-07-20,鮮魚,1,1361
P0004197,M000701,2025-08-09,鮮魚,1,1090
P0004198,M000702,2025-12-21,果物,5,4610
P0004199,M000702,2025-09-29,有機食品セット,1,3270
P0004200,M000702,2026-03-02,調味料,5,2305
P0004201,M000702,2025-09-14,調味料,2,1594
P0004202,M000702,2026-03-12,米・穀物,5,10635
P0004203,M000702,2025-10-15,有機食品セット,5,21665
P0004204,M000702,2025-09-18,精肉,3,4863
P0004205,M000703,2026-01-20,米・穀物,2,4058
P0004206,M000703,2025-09-06,野菜,3,1443
P0004207,M000703,2026-01-20,飲料,1,459
P0004208,M000703,2026-06-05,野菜,5,3715
P0004209,M000704,2026-01-20,野菜,3,2028
P0004210,M000704,2025-11-05,鮮魚,5,7520
P0004211,M000704,2026-02-20,鮮魚,1,1520
P0004212,M000704,2026-06-02,米・穀物,2,6600
P0004213,M000704,2025-12-02,調味料,1,781
P0004214,M000704,2025-07-18,精肉,1,1109
P0004215,M000705,2025-12-06,惣菜,5,2895
P0004216,M000705,2025-12-11,鮮魚,1,1681
P0004217,M000705,2025-10-13,飲料,4,2068
P0004218,M000705,2025-12-10,野菜,2,848
P0004219,M000705,2025-07-26,飲料,1,431
P0004220,M000705,2025-11-18,鮮魚,4,5188
P0004221,M000705,2025-12-06,果物,1,989
P0004222,M000705,2025-12-12,飲料,1,285
P0004223,M000706,2025-08-15,果物,2,2018
P0004224,M000706,2025-07-11,惣菜,4,2204
P0004225,M000706,2026-02-16,惣菜,3,2094
P0004226,M000706,2026-06-04,飲料,5,2605
P0004227,M000706,2025-09-27,飲料,5,1990
P0004228,M000706,2026-03-23,野菜,2,1274
P0004229,M000706,2026-06-25,果物,1,885
P0004230,M000707,2026-03-26,飲料,2,762
P0004231,M000707,2026-01-21,有機食品セット,3,12678
P0004232,M000707,2025-09-30,果物,1,727
P0004233,M000707,2026-05-14,調味料,1,340
P0004234,M000707,2025-09-27,米・穀物,3,5988
P0004235,M000707,2026-04-20,菓子,4,2408
P0004236,M000707,2026-01-20,飲料,1,400
P0004237,M000708,2025-09-13,果物,2,1540
P0004238,M000708,2026-03-15,米・穀物,3,6210
P0004239,M000708,2025-10-19,野菜,2,928
P0004240,M000708,2025-09-26,調味料,2,856
P0004241,M000708,2025-08-10,鮮魚,4,6044
P0004242,M000708,2025-12-09,米・穀物,4,8472
P0004243,M000709,2025-10-04,惣菜,4,2484
P0004244,M000709,2026-02-10,果物,5,4040
P0004245,M000709,2026-05-09,飲料,1,465
P0004246,M000709,2026-06-30,菓子,4,2444
P0004247,M000710,2026-03-02,菓子,4,2444
P0004248,M000710,2025-10-29,惣菜,4,2892
P0004249,M000710,2026-02-04,野菜,2,1264
P0004250,M000710,2025-12-16,果物,5,3710
P0004251,M000711,2025-10-28,調味料,1,801
P0004252,M000711,2025-07-25,菓子,3,1908
P0004253,M000711,2025-09-26,精肉,5,6470
P0004254,M000711,2026-02-08,菓子,3,1989
P0004255,M000711,2026-05-16,飲料,2,920
P0004256,M000711,2026-04-11,調味料,4,2004
P0004257,M000711,2025-10-18,惣菜,1,677
P0004258,M000712,2026-06-10,有機食品セット,1,3181
P0004259,M000713,2025-11-22,飲料,4,1504
P0004260,M000713,2026-02-15,飲料,3,1434
P0004261,M000713,2025-10-06,飲料,5,2155
P0004262,M000713,2026-05-09,精肉,5,6295
P0004263,M000714,2025-10-14,精肉,1,1349
P0004264,M000714,2026-02-20,果物,2,1438
P0004265,M000714,2026-02-26,調味料,4,2224
P0004266,M000714,2025-09-27,菓子,2,852
